month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2022-05,1654041540,31762.76,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,195.58614145918557,195.58614145918557,255.42314145843798
2022-06,1656633540,19924.89,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,122.69186790123756,122.69186790123756,182.52886790048996
2022-07,1659311940,23322.53,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,143.61357929116045,143.61357929116045,203.45057929041286
2022-08,1661990340,20059.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,123.51767955712299,123.51767955712299,183.3546795563754
2022-09,1664582340,19425.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,119.61368589646113,119.61368589646113,179.45068589571355
2022-10,1667260740,20498.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,126.22091806978946,126.22091806978946,186.05791806904188
2022-11,1669852740,17170.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,105.7280302106686,105.7280302106686,165.56503020992102
2022-12,1672531140,16528.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,101.77477480034541,101.77477480034541,161.6117747995978
2023-01,1675209540,23127.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,142.40956055225004,142.40956055225004,202.24656055150245
2023-02,1677628740,23136.0,0,0,40320,0.0,0.0,59.83699999925241,0.0,413,142.46498002061904,142.46498002061904,202.30198001987145
2023-03,1680307140,28476.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,175.34719791956897,175.34719791956897,235.18419791882138
2023-04,1682899140,29235.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,180.02090641868938,180.02090641868938,239.8579064179418
2023-05,1685577540,27219.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,167.60694550402962,167.60694550402962,227.44394550328204
2023-06,1688169540,30469.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,187.61953130395236,187.61953130395236,247.45653130320477
2023-07,1690847940,29231.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,179.9962755438587,179.9962755438587,239.8332755431111
2023-08,1693526340,25932.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,159.68196152726026,159.68196152726026,219.51896152651267
2023-09,1696118340,26966.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,166.0490426709895,166.0490426709895,225.88604267024192
2023-10,1698796740,34661.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,213.43268812649885,213.43268812649885,273.26968812575126
2023-11,1701388740,37719.0,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,232.26299193454918,232.26299193454918,292.09999193380156
2023-12,1704067140,42258.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,260.2128771486566,260.2128771486566,320.049877147909
2024-01,1706745540,42558.0,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,262.0601927609572,262.0601927609572,321.8971927602096
2024-02,1709251140,61161.0,0,0,41760,0.0,0.0,59.83699999925241,0.0,413,376.6122338797148,376.6122338797148,436.4492338789672
2024-03,1711929540,71285.0,13063,13050,31577,13.049999999998207,0.04999999986382875,59.88699999911624,0.0,426,414.71551168404676,414.71551168404676,474.602511683163
2024-04,1714521540,60632.0,206,206,42994,0.20600000000000016,0.20599999999994267,60.09299999911619,0.0,426,352.54529348127085,352.54529348127085,412.638293480387
2024-05,1717199940,67477.0,0,0,44640,0.0,0.0,60.09299999911619,0.0,426,392.34560575662545,392.34560575662545,452.4386057557416
2024-06,1719791940,62676.0,0,0,43200,0.0,0.0,60.09299999911619,0.0,426,364.4301493309165,364.4301493309165,424.52314933003265
2024-07,1722470340,64612.0,0,0,44640,0.0,0.0,60.09299999911619,0.0,426,375.6870382374303,375.6870382374303,435.7800382365465
2024-08,1725148740,58967.0,0,0,44640,0.0,0.0,60.09299999911619,0.0,426,342.8641364413197,342.8641364413197,402.9571364404359
2024-09,1727740740,63302.0,0,0,43200,0.0,0.0,60.09299999911619,0.0,426,368.0700317975888,368.0700317975888,428.163031796705
2024-10,1730419140,70231.0,1224,1223,43416,1.222999999999976,0.22300000000275588,60.315999999118944,0.0,427,410.21064442598885,410.21064442598885,470.5266444251078
2024-11,1733011140,96441.0,21000,20980,22200,20.980000000002658,0.9799999996984656,61.29599999881741,0.0,447,434.42417915397544,434.42417915397544,495.72017915279287
2024-12,1735689540,93381.0,12839,12827,31801,12.82699999999833,0.8269999999325357,62.12299999874995,0.0,459,402.4322494951465,402.4322494951465,464.55524949389644
2025-01,1736208000,102263.0,0,0,8641,0.0,0.0,62.12299999874995,0.0,459,440.70987813497567,440.70987813497567,502.8328781337256
