month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2022-10,1667260740,20498.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,150.6020568055865,150.63705680445528,150.63705680445528
2022-11,1669852740,17170.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,126.1507130135584,126.18571301242719,126.18571301242719
2022-12,1672531140,16528.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,121.43383719790874,121.46883719677753,121.46883719677753
2023-01,1675209540,23127.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,169.91773674225772,169.9527367411265,169.9527367411265
2023-02,1677628740,23136.0,0,0,40320,0.0,0.0,0.0,0.034999998868787685,491,169.9838611695799,170.0188611684487,170.0188611684487
2023-03,1680307140,28476.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,209.21768804741345,209.25268804628223,209.25268804628223
2023-04,1682899140,29235.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,214.79418141825158,214.82918141712037,214.82918141712037
2023-05,1685577540,27219.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,199.9823096980807,200.0173096969495,200.0173096969495
2023-06,1688169540,30469.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,223.86057511998317,223.89557511885195,223.89557511885195
2023-07,1690847940,29231.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,214.76479278388615,214.79979278275493,214.79979278275493
2023-08,1693526340,25932.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,190.52651659100738,190.56151658987616,190.56151658987616
2023-09,1696118340,26966.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,198.123478574468,198.1584785733368,198.1584785733368
2023-10,1698796740,34661.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,254.65986393494165,254.69486393381044,254.69486393381044
2023-11,1701388740,37719.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,277.12747490730396,277.16247490617275,277.16247490617275
2023-12,1704067140,42258.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,310.47622775346247,310.51122775233125,310.51122775233125
