ticker,scheduled_ts,actual_ts,amount,entry_price,actual_datetime
SPY,1664544600,1664544600,300.0,362.53,2022-09-30T09:30:00-04:00
SPY,1667136600,1667223000,300.0,386.52,2022-10-31T09:30:00-04:00
SPY,1669818600,1669818600,300.0,395.86,2022-11-30T09:30:00-05:00
SPY,1672410600,1672410600,300.0,380.85,2022-12-30T09:30:00-05:00
SPY,1675089000,1675089000,300.0,403.2994,2023-01-30T09:30:00-05:00
SPY,1677594600,1677594600,300.0,397.1201,2023-02-28T09:30:00-05:00
SPY,1680183000,1680183000,300.0,403.84,2023-03-30T09:30:00-04:00
SPY,1682861400,1682947800,300.0,415.66,2023-05-01T09:30:00-04:00
SPY,1685453400,1685453400,300.0,422.32,2023-05-30T09:30:00-04:00
SPY,1688131800,1688131800,300.0,441.16,2023-06-30T09:30:00-04:00
SPY,1690723800,1690810200,300.0,457.36,2023-07-31T09:30:00-04:00
SPY,1693402200,1693402200,300.0,449.82,2023-08-30T09:30:00-04:00
AAPL,1664544600,1664544600,300.0,141.6808,2022-09-30T09:30:00-04:00
AAPL,1667136600,1667223000,300.0,153.61,2022-10-31T09:30:00-04:00
AAPL,1669818600,1669818600,300.0,140.8403,2022-11-30T09:30:00-05:00
AAPL,1672410600,1672410600,300.0,128.48,2022-12-30T09:30:00-05:00
AAPL,1675089000,1675089000,300.0,145.19,2023-01-30T09:30:00-05:00
AAPL,1677594600,1677594600,300.0,147.27,2023-02-28T09:30:00-05:00
AAPL,1680183000,1680183000,300.0,161.73,2023-03-30T09:30:00-04:00
AAPL,1682861400,1682947800,300.0,169.8236,2023-05-01T09:30:00-04:00
AAPL,1685453400,1685453400,300.0,176.92,2023-05-30T09:30:00-04:00
AAPL,1688131800,1688131800,300.0,191.3201,2023-06-30T09:30:00-04:00
AAPL,1690723800,1690810200,300.0,196.22,2023-07-31T09:30:00-04:00
AAPL,1693402200,1693402200,300.0,185.32,2023-08-30T09:30:00-04:00
AMZN,1664544600,1664544600,300.0,114.03,2022-09-30T09:30:00-04:00
AMZN,1667136600,1667223000,300.0,103.9695,2022-10-31T09:30:00-04:00
AMZN,1669818600,1669818600,300.0,92.24,2022-11-30T09:30:00-05:00
AMZN,1672410600,1672410600,300.0,83.1115,2022-12-30T09:30:00-05:00
AMZN,1675089000,1675089000,300.0,101.12,2023-01-30T09:30:00-05:00
AMZN,1677594600,1677594600,300.0,93.485,2023-02-28T09:30:00-05:00
AMZN,1680183000,1680183000,300.0,101.23,2023-03-30T09:30:00-04:00
AMZN,1682861400,1682947800,300.0,104.905,2023-05-01T09:30:00-04:00
AMZN,1685453400,1685453400,300.0,122.6,2023-05-30T09:30:00-04:00
AMZN,1688131800,1688131800,300.0,129.09,2023-06-30T09:30:00-04:00
AMZN,1690723800,1690810200,300.0,132.7619,2023-07-31T09:30:00-04:00
AMZN,1693402200,1693402200,300.0,134.93,2023-08-30T09:30:00-04:00
META,1664544600,1664544600,300.0,136.96,2022-09-30T09:30:00-04:00
META,1667136600,1667223000,300.0,98.88,2022-10-31T09:30:00-04:00
META,1669818600,1669818600,300.0,110.25,2022-11-30T09:30:00-05:00
META,1672410600,1672410600,300.0,118.2891,2022-12-30T09:30:00-05:00
META,1675089000,1675089000,300.0,149.9931,2023-01-30T09:30:00-05:00
META,1677594600,1677594600,300.0,173.0,2023-02-28T09:30:00-05:00
META,1680183000,1680183000,300.0,204.19,2023-03-30T09:30:00-04:00
META,1682861400,1682947800,300.0,239.56,2023-05-01T09:30:00-04:00
META,1685453400,1685453400,300.0,266.1199,2023-05-30T09:30:00-04:00
META,1688131800,1688131800,300.0,284.9721,2023-06-30T09:30:00-04:00
META,1690723800,1690810200,300.0,323.38,2023-07-31T09:30:00-04:00
META,1693402200,1693402200,300.0,296.695,2023-08-30T09:30:00-04:00
MSFT,1664544600,1664544600,300.0,238.1695,2022-09-30T09:30:00-04:00
MSFT,1667136600,1667223000,300.0,234.27,2022-10-31T09:30:00-04:00
MSFT,1669818600,1669818600,300.0,240.6256,2022-11-30T09:30:00-05:00
MSFT,1672410600,1672410600,300.0,238.49,2022-12-30T09:30:00-05:00
MSFT,1675089000,1675089000,300.0,245.1565,2023-01-30T09:30:00-05:00
MSFT,1677594600,1677594600,300.0,249.27,2023-02-28T09:30:00-05:00
MSFT,1680183000,1680183000,300.0,283.1,2023-03-30T09:30:00-04:00
MSFT,1682861400,1682947800,300.0,307.49,2023-05-01T09:30:00-04:00
MSFT,1685453400,1685453400,300.0,334.505,2023-05-30T09:30:00-04:00
MSFT,1688131800,1688131800,300.0,338.49,2023-06-30T09:30:00-04:00
MSFT,1690723800,1690810200,300.0,337.06,2023-07-31T09:30:00-04:00
MSFT,1693402200,1693402200,300.0,328.2,2023-08-30T09:30:00-04:00
TSLA,1664544600,1664544600,300.0,265.3,2022-09-30T09:30:00-04:00
TSLA,1667136600,1667223000,300.0,225.8998,2022-10-31T09:30:00-04:00
TSLA,1669818600,1669818600,300.0,183.1295,2022-11-30T09:30:00-05:00
TSLA,1672410600,1672410600,300.0,120.8743,2022-12-30T09:30:00-05:00
TSLA,1675089000,1675089000,300.0,178.95,2023-01-30T09:30:00-05:00
TSLA,1677594600,1677594600,300.0,210.3567,2023-02-28T09:30:00-05:00
TSLA,1680183000,1680183000,300.0,196.12,2023-03-30T09:30:00-04:00
TSLA,1682861400,1682947800,300.0,162.2,2023-05-01T09:30:00-04:00
TSLA,1685453400,1685453400,300.0,199.97,2023-05-30T09:30:00-04:00
TSLA,1688131800,1688131800,300.0,260.164,2023-06-30T09:30:00-04:00
TSLA,1690723800,1690810200,300.0,268.37,2023-07-31T09:30:00-04:00
TSLA,1693402200,1693402200,300.0,255.2,2023-08-30T09:30:00-04:00
