asset_type,ticker,first_timestamp,final_timestamp,first_datetime,final_datetime,first_close,final_close,underlying_price_change_percent,eligible_minutes,trading_sessions,contribution_count,monthly_contribution,total_contributed,dca_buy_and_hold_final_wealth,dca_buy_and_hold_profit_loss,dca_buy_and_hold_simple_return_percent,dca_buy_and_hold_money_weighted_annual_return_percent,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,profit_loss,simple_return_on_contributions_percent,money_weighted_annual_return_percent,cash_flow_adjusted_time_weighted_return_percent,final_cash,open_lots,open_lot_cost_basis,open_liquidation_value,unrealized_pnl_on_open_lots,realized_profit,buys,sales,skipped_buys,participation_percent_of_eligible_minutes,max_open_lots,average_holding_days_closed,maximum_holding_days_closed,oldest_open_lot_age_days,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,cash_flow_adjusted_maximum_drawdown_percent,maximum_drawdown_timestamp
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,1.0,1.222444666889122,3560.2655697348614,-39.7344302651386,-1.103734174031623,-2.036381760586342,8.957649345414076,0.1500000002311026,3770,3770.0,3560.1155697346303,-209.8844302653697,170.14999999999023,20785,17015,76580,21.347506804293126,3770,28.381927914911678,230.68819444444443,72.23472222222222,10.10872759330003,47.91066705847781,76.93211871877755,8.512913968241458,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,2.0,2.2246470893335424,3580.109203702398,-19.89079629760181,-0.5525221193778296,-1.0210138932915058,10.419316370710963,0.05999999994838845,3781,3781.0,3580.0492037024496,-200.95079629755037,181.06000000001882,12834,9053,84531,13.181327992605146,3781,53.584441544853156,237.77430555555554,73.21388888888889,3.103943444162156,28.50988622556059,59.64873522589197,9.419150725408953,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,3.0,3.226849511778007,3593.8548710248447,-6.14512897515533,-0.1706980270876457,-0.315779797472987,11.99069139533082,0.8399999999206784,3792,3792.0,3593.014871024924,-198.9851289750759,192.84000000000654,10220,6428,87145,10.496585015149181,3792,74.35658685092996,249.73333333333332,302.9583333333333,0.0,9.785314250155569,50.3889234598631,9.15219697902425,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,4.0,4.22905193422245,3618.202555977052,18.202555977051816,0.5056265549181038,0.9371749012261232,13.97530656082746,0.6799999999986994,3792,3792.0,3617.522555977053,-174.4774440229471,192.67999999999594,8609,4817,88756,8.841986340060597,3792,86.64052862546998,251.85486111111112,310.2138888888889,0.0,9.383433672410213,41.45733859248495,9.373103350988131,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,5.0,5.2312543566669145,3610.6236579713677,10.62365797136772,0.2951016103157622,0.54664207764622,13.820493110453791,0.8500000000080377,3753,3753.0,3609.7736579713596,-143.22634202864037,153.85000000000073,6830,3077,90535,7.014841061983259,3753,96.61338853681436,259.9479166666667,319.1020833333333,0.0,0.8449788755281118,31.52421189470263,9.378238397043598,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,6.0,6.233456779111335,3605.3812528290364,5.381252829036384,0.1494792452510163,0.276778722525195,13.661012499015367,0.2999999999467491,3747,3747.0,3605.08125282909,-141.91874717091014,147.30000000000405,6202,2455,91163,6.369845427001489,3747,107.34349117447385,262.8875,303.2284722222222,0.0,0.8961303462321792,25.539714867617107,9.1253660172657,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,7.000000000000001,7.2356592015558,3610.532231543776,10.532231543776106,0.29256198732712235,0.5419338083373026,13.481167149403861,0.6800000000341129,3748,3748.0,3609.852231543742,-138.14776845625784,148.679999999992,5872,2124,91493,6.030914599702152,3748,114.78440377170956,263.9763888888889,325.14375,0.0,0.0,29.23728813559322,9.376763717042389,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,8.0,8.237861624000242,3615.8683556341875,15.868355634187537,0.4407876565052149,0.816846395565729,14.16511810169887,0.04000000000257842,3737,3737.0,3615.828355634185,-121.17164436581515,137.03999999999903,5450,1713,91915,5.597493966004211,3737,117.45308385224104,268.1333333333333,322.9625,0.0,0.0,33.04144775248103,9.373619178651674,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,9.0,9.240064046444685,3619.1890444408978,19.18904444089776,0.5330290122471659,0.9880418342695818,14.37822315326336,0.14000000000066848,3658,3658.0,3619.049044440897,-38.95095555910302,58.140000000000946,4304,646,93061,4.420479638473784,3658,66.6735713364293,274.00625,333.2701388888889,0.0,0.0,46.43962848297214,9.210190808362924,1678899420
etf,DIA,1664544600,1696017540,2022-09-30T09:30:00-04:00,2023-09-29T15:59:00-04:00,291.69,335.0,14.847955020741189,97365,251,12,300.0,3600.0,3615.5933717980843,15.593371798084263,0.43314921661345984,0.8026738257569721,10.0,10.242266468889127,3616.9571060870812,16.95710608708123,0.4710307246411416,0.872966218191229,14.138803320865744,0.6000000000000227,3662,3662.0,3616.3571060870813,-45.64289391291868,62.60000000000062,4288,626,93077,4.4040466286653315,3662,152.74906593894212,277.98819444444445,337.22777777777776,0.0,0.0,47.92332268370607,9.379948648741781,1678899420
