asset_type,ticker,first_timestamp,final_timestamp,first_close,final_close,underlying_price_change_percent,eligible_minutes,trading_sessions,buy_and_hold_final_wealth,buy_and_hold_profit_loss,buy_and_hold_return_percent,target_net_profit_percent,required_reference_price_rise_percent,initial_capital,final_cash,open_lots,open_lot_cost_basis,open_liquidation_value,unrealized_pnl_on_open_lots,final_total_wealth,final_profit_loss,return_percent,buys,sales,skipped_buys,participation_percent_of_eligible_minutes,realized_profit_before_final_liquidation,max_open_lots,average_holding_minutes_closed,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_percent,maximum_drawdown_timestamp
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,2.0,2.2246470893335424,600.0,0.5799999999741061,785,785.0,730.8652249103202,-54.134775089679806,731.4452249102943,131.44522491029431,21.907537485049055,10064,9279,87639,10.300604894424941,185.58000000002113,785,29042.00301756655,112636,112341,0.0,7.360706972734131,39.50856773359198,72.87423213708374,12.360332273363749,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,3.0,3.226849511778007,600.0,0.3099999999611607,797,797.0,749.4690236117526,-47.53097638824738,749.7790236117138,149.7790236117138,24.9631706019523,7374,6577,90329,7.547362926419864,197.3100000000067,797,41491.651208757794,132477,112708,0.0,4.363691652729208,23.0500228067508,60.07298160255436,12.302019695521857,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,4.0,4.22905193422245,600.0,0.6000000000070491,821,821.0,773.2045822887866,-47.79541771121342,773.8045822887937,173.80458228879365,28.967430381465608,6361,5540,91342,6.510547270810518,221.5999999999902,821,49963.18880866426,142231,114131,0.0,2.436823104693141,11.425992779783394,57.2202166064982,12.364942767106735,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,5.0,5.2312543566669145,600.0,0.6500000000116728,804,804.0,757.151049638545,-46.84895036145497,757.8010496385567,157.80104963855672,26.300174939759447,4897,4093,92806,5.012128593799576,204.65000000001228,804,64695.34204739799,171386,152903,0.0,0.0,4.446616173955534,40.82580014659174,12.355834649916215,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,6.0,6.233456779111335,600.0,0.6200000000015744,805,805.0,769.9334479019226,-35.06655209807741,770.5534479019242,170.5534479019242,28.425574650320694,4232,3427,93471,4.331494426987913,205.62000000000626,805,75556.20367668515,170306,152994,0.0,0.0,0.11672016340822877,31.36854391596148,12.367205153283198,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,7.000000000000001,7.2356592015558,600.0,0.4999999999874376,813,813.0,779.4962353395483,-33.50376466045168,779.9962353395358,179.99623533953582,29.99937255658931,3863,3050,93840,3.953819227659335,213.49999999998568,813,85276.49016393443,183094,155909,0.0,0.0,0.0,24.065573770491802,12.36720515328325,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,8.0,8.237861624000242,600.0,0.16000000000516934,816,816.0,774.0853938816332,-41.914606118366805,774.2453938816384,174.2453938816384,29.040898980273067,3518,2702,94185,3.600708268937494,216.1600000000114,816,98432.58697261287,195797,155909,0.0,0.0,0.0,5.736491487786824,12.347398361096554,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,9.0,9.240064046444685,600.0,0.510000000002435,837,837.0,790.077034156642,-46.92296584335804,790.5870341566443,190.58703415664434,31.764505692774048,3476,2639,94227,3.557720847875705,237.51000000000772,837,101953.07578628269,217445,171746,0.0,0.0,0.0,10.496400151572566,11.978075702859734,1672260240
etf,QQQ,1664544600,1696017540,271.43,358.34,32.019305161551756,97703,251,790.3750911290763,190.37509112907628,31.729181854846054,10.0,10.242266468889127,600.0,0.6000000000034049,798,798.0,765.2685084445371,-32.73149155546287,765.8685084445406,165.86850844454057,27.644751407423417,2784,1986,94919,2.8494519103814624,198.599999999993,798,127088.37965760322,230666,171746,0.0,0.0,0.0,12.336354481369588,12.334663158872205,1672260240
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,1.0,1.222444666889122,600.0,0.35999999994868404,700,700.0,654.1428387055998,-45.85716129440016,654.5028387055486,54.502838705548584,9.083806450924769,10736,10036,87008,10.983794401702406,100.36000000001444,700,26472.038361897172,172473,105225,0.12953367875647667,13.212435233160623,45.92467118373854,87.06656038262255,8.616640957379527,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,2.0,2.2246470893335424,600.0,0.17999999998863814,727,727.0,680.1704143708339,-46.829585629166104,680.3504143708226,80.35041437082259,13.391735728470433,7086,6359,90658,7.2495498444917335,127.17999999999184,727,43676.34187765372,242214,112376,0.0,4.843528856738481,21.68579965403365,78.91177858153797,8.69897215321567,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,3.0,3.226849511778007,600.0,0.7899999999889928,734,734.0,691.6792603594703,-42.32073964052972,692.4692603594592,92.46926035945921,15.4115433932432,5227,4493,92517,5.347642822065804,134.79000000000434,734,61417.018473180506,262333,114149,0.0,4.673937235699977,14.867571778321834,59.87091030491876,8.79899153478237,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,4.0,4.22905193422245,600.0,0.4000000000001691,733,733.0,692.842814245401,-40.15718575459903,693.2428142454012,93.24281424540118,15.540469040900206,4068,3335,93676,4.16189229006384,133.40000000000774,733,81623.40689655172,265275,152903,0.0,0.029985007496251874,13.193403298350825,36.31184407796102,8.843749652537635,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,5.0,5.2312543566669145,600.0,0.3000000000044305,729,729.0,695.6193900095769,-33.38060999042307,695.9193900095813,95.91939000958132,15.986565001596897,3315,2586,94429,3.3915125225077754,129.29999999999515,729,100966.93774168601,286498,155897,0.0,0.0,3.7122969837587005,38.24439288476412,8.909497796637956,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,6.0,6.233456779111335,600.0,0.16000000000232717,728,728.0,700.1949684472713,-27.80503155272868,700.3549684472737,100.35496844727368,16.72582807454561,2864,2136,94880,2.930103126534621,128.16000000000332,728,119224.33707865169,279299,157020,0.0,0.0,0.04681647940074907,28.089887640449437,8.910596024884732,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,7.000000000000001,7.2356592015558,600.0,0.9599999999929096,734,734.0,701.4039004397614,-32.5960995602386,702.3639004397543,102.36390043975427,17.060650073292383,2662,1928,95082,2.723440825012277,134.95999999999333,734,136900.41390041495,273418,152991,0.0,0.0,0.0,20.850622406639005,8.748888405335704,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,8.0,8.237861624000242,600.0,0.39999999999985647,714,714.0,698.9287040306099,-15.071295969390121,699.3287040306097,99.32870403060974,16.55478400510162,2144,1430,95600,2.1934850220985433,114.39999999999792,714,167303.14965034966,307848,171749,0.0,0.0,0.0,5.384615384615385,8.912884645940673,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,9.0,9.240064046444685,600.0,0.8599999999960346,712,712.0,698.4010023538304,-13.59899764616955,699.2610023538265,99.26100235382648,16.54350039230441,1966,1254,95778,2.011376657390735,112.86000000000301,712,187000.86363636365,308049,171746,0.0,0.0,0.0,0.0,8.912664965763929,1678714680
etf,SPY,1664544600,1696017540,362.53,427.39,17.890933164151935,97744,251,705.7911487178835,105.79114871788352,17.631858119647248,10.0,10.242266468889127,600.0,-1.3535839116229909e-12,726,726.0,703.6989577449981,-22.301042255001903,703.6989577449967,103.69895774499673,17.28315962416611,1986,1260,95758,2.0318382714028482,125.99999999999712,726,190772.99444444446,322211,155909,0.0,0.0,0.0,0.0,8.91266496576394,1678714680
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,1.0,1.222444666889122,600.0,0.6899999998920905,789,789.0,688.7025137380272,-100.29748626197284,689.3925137379192,89.39251373791922,14.898752289653206,19758,18969,77991,20.21299450633766,189.68999999997246,789,14085.111603141968,207496,103914,1.4181032210448627,20.960514523696556,64.9480731720175,94.55427276082028,18.97345083944716,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,2.0,2.2246470893335424,600.0,-4.085265459252696e-11,813,813.0,713.93137411478,-99.06862588521994,713.9313741147392,113.93137411473924,18.98856235245654,11463,10650,86286,11.72697418899426,213.00000000003516,813,25887.76460093897,208825,131048,0.13145539906103287,6.309859154929577,47.305164319248824,91.26760563380282,20.084985097854748,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,3.0,3.226849511778007,600.0,0.8499999999687589,809,809.0,715.5012813812932,-93.49871861870679,716.351281381262,116.35128138126197,19.391880230210322,7804,6995,89945,7.9837133883722595,209.85000000000719,809,38148.582130092924,221513,131419,0.0,3.130807719799857,25.189421015010723,87.93423874195854,20.07542051688785,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,4.0,4.22905193422245,600.0,0.08000000000532737,814,814.0,717.0919835032855,-96.90801649671448,717.1719835032909,117.1719835032909,19.528663917215148,6166,5352,91583,6.30799292064369,214.07999999999168,814,51180.241031390135,221790,131429,0.0,0.8034379671150972,15.47085201793722,78.9424514200299,20.700297111884016,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,5.0,5.2312543566669145,600.0,0.9000000000111754,822,822.0,725.0741199269389,-96.92588007306108,725.9741199269502,125.97411992695015,20.995686654491696,5280,4458,92469,5.401589786084768,222.90000000001643,822,61360.54957379991,225880,134303,0.0,0.06729475100942127,11.215791834903545,54.03768506056527,20.433086162235785,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,6.0,6.233456779111335,600.0,0.10000000000437126,806,806.0,718.0762426399768,-87.92375736002316,718.1762426399812,118.17624263998118,19.696040439996864,4241,3435,93508,4.338663311133618,206.10000000000628,806,76163.1382823872,247453,142560,0.0,0.0,1.834061135371179,45.12372634643377,21.093478673465576,1672769820
stock,AAPL,1664544600,1696017540,141.6808,171.22,20.849119993675913,97749,251,723.5012645384504,123.50126453845041,20.583544089741746,7.000000000000001,7.2356592015558,600.0,0.51999999999191,791,791.0,719.7458864657515,-71.25411353424852,720.2658864657434,120.26588646574339,20.04431441095724,3527,2736,94222,3.608221055969882,191.51999999998782,791,91876.94115497076,249165,153005,0.0,0.0,0.0,22.953216374269005,21.12032009145477,1672769820
