asset_type,ticker,starting_capital,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,final_profit_loss,return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,buys,sales,open_lots,unrealized_pnl_on_open_lots,participation_percent_of_eligible_minutes,average_holding_minutes_closed,maximum_drawdown_percent,eligible_minutes,trading_sessions,first_close,final_close,underlying_price_change_percent,first_timestamp,final_timestamp,buy_and_hold_profit_loss,initial_capital,final_cash,open_lot_cost_basis,open_liquidation_value,skipped_buys,realized_profit_before_final_liquidation,max_open_lots,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_timestamp
etf,SPY,300,1.0,1.222444666889122,328.40347980471796,28.40347980471796,9.46782660157266,352.89557435894176,17.631858119647248,5507,5156,351,-23.156520195272833,5.63410541823539,26566.414080682698,8.838266106259827,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.5599999999907936,351.0,327.84347980472717,92237,51.55999999999831,351,172473,105225,0.019394879751745538,11.636927851047323,50.32971295577968,87.3933281613654,1678714680
etf,SPY,300,2.0,2.2246470893335424,338.2906976797354,38.29069767973539,12.763565893245122,352.89557435894176,17.631858119647248,3440,3079,361,-23.28930232026738,3.5193976100834834,45353.93829165313,8.898412870471164,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.5800000000027552,361.0,337.7106976797326,94304,61.58000000000403,361,242214,112376,0.0,0.0974342318934719,19.324455992205262,78.49951282884054,1678714680
etf,SPY,300,3.0,3.226849511778007,344.2109906989009,44.2109906989009,14.736996899633636,352.89557435894176,17.631858119647248,2551,2186,365,-21.36900930110022,2.6098788672450484,63501.52516010979,8.896394720553767,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.5800000000011067,365.0,343.6309906988998,95193,65.58000000000172,365,259110,114149,0.0,0.0,15.690759377859104,54.34583714547118,1678714680
etf,SPY,300,4.0,4.22905193422245,347.3729187018062,47.37291870180621,15.790972900602075,352.89557435894176,17.631858119647248,2022,1656,366,-18.867081298193682,2.068669176624652,81324.68719806764,8.901198136403595,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.23999999999987764,366.0,347.1329187018063,95722,66.23999999999916,366,264538,152903,0.0,0.0,15.096618357487923,35.7487922705314,1678714680
etf,SPY,300,5.0,5.2312543566669145,347.27055946429624,47.27055946429624,15.756853154765405,352.89557435894176,17.631858119647248,1656,1292,364,-17.329440535703554,1.6942216402029793,102003.10216718266,8.893127910207676,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.5999999999998231,364.0,346.67055946429645,96088,64.59999999999847,364,286498,152910,0.0,0.0,0.23219814241486067,41.253869969040245,1678714680
etf,SPY,300,6.0,6.233456779111335,350.1923944183561,50.192394418356116,16.73079813945204,352.89557435894176,17.631858119647248,1436,1072,364,-14.127605581644048,1.4691438860697332,119921.52332089552,8.91059123813354,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.3200000000001779,364.0,349.87239441835595,96308,64.32000000000092,364,279299,157020,0.0,0.0,0.0,27.98507462686567,1678714680
etf,SPY,300,7.000000000000001,7.2356592015558,351.04571952502386,51.045719525023856,17.015239841674614,352.89557435894176,17.631858119647248,1331,964,367,-16.43428047497423,1.3617204125061384,138242.81846473028,8.904296447744157,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.4799999999980853,367.0,350.56571952502577,96413,67.4799999999999,367,273418,152928,0.0,0.0,0.0,22.30290456431535,1678714680
etf,SPY,300,8.0,8.237861624000242,349.47592557429044,49.47592557429044,16.491975191430154,352.89557435894176,17.631858119647248,1017,664,353,-3.6440744257092206,1.04047307251596,174842.38704819276,8.912664965763929,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.11999999999965638,353.0,349.3559255742908,96727,53.11999999999922,353,302400,171749,0.0,0.0,0.0,0.0,1678714680
etf,SPY,300,9.0,9.240064046444685,350.31385980109866,50.31385980109866,16.77128660036622,352.89557435894176,17.631858119647248,983,627,356,-6.116140198902087,1.0056883286953675,188272.46411483255,8.912664965763927,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.4300000000007458,356.0,349.8838598010979,96761,56.43000000000088,356,308049,161669,0.0,0.0,0.0,0.0,1678714680
etf,SPY,300,10.0,10.242266468889127,351.17284125683443,51.17284125683443,17.057613752278144,352.89557435894176,17.631858119647248,993,630,363,-11.827158743165569,1.0159191357014241,192117.2603174603,8.91266496576393,97744,251,362.53,427.39,17.890933164151935,1664544600,1696017540,52.89557435894176,300.0,0.0,363.0,351.17284125683443,96751,63.000000000000625,363,322211,154448,0.0,0.0,0.0,0.0,1678714680
