month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2021-05,1622505540,37341.41,0,0,44640,0.0,0.0,0.0,0.45999999948048753,1109,647.641007585476,648.1010075849565,648.1010075849565
2021-06,1625097540,35037.23,0,0,43200,0.0,0.0,0.0,0.45999999948048753,1109,607.6778284538283,608.1378284533088,608.1378284533088
2021-07,1627775940,41490.13,0,0,44640,0.0,0.0,0.0,0.45999999948048753,1109,719.5954731771612,720.0554731766417,720.0554731766417
2021-08,1630454340,47156.09,0,0,44640,0.0,0.0,0.0,0.45999999948048753,1109,817.8646077207953,818.3246077202758,818.3246077202758
2021-09,1633046340,43834.43,0,0,43200,0.0,0.0,0.0,0.45999999948048753,1109,760.2544845557522,760.7144845552327,760.7144845552327
2021-10,1635724740,61359.44,2552,2527,42088,25.27000000000115,0.0,0.0,0.7299999994627235,1134,1062.4293517995436,1063.1593517990063,1063.1593517990063
2021-11,1638316740,56974.12,5135,5084,38065,50.839999999998454,0.0,0.0,0.5699999994296974,1185,1007.9900739499872,1008.5600739494168,1008.5600739494168
2021-12,1640995140,46214.37,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,817.6278323184644,818.197832317894,818.197832317894
2022-01,1643673540,38491.92,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,681.0017124841415,681.5717124835712,681.5717124835712
2022-02,1646092740,43178.98,0,0,40320,0.0,0.0,0.0,0.5699999994296974,1185,763.9255023734463,764.495502372876,764.495502372876
2022-03,1648771140,45517.27,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,805.2946908754628,805.8646908748925,805.8646908748925
2022-04,1651363140,37639.8,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,665.9259464729377,666.4959464723673,666.4959464723673
2022-05,1654041540,31762.76,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,561.9489480707326,562.5189480701623,562.5189480701623
2022-06,1656633540,19924.89,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,352.5125327876123,353.082532787042,353.082532787042
2022-07,1659311940,23322.53,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,412.6238148022434,413.19381480167306,413.19381480167306
2022-08,1661990340,20059.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,354.88521618873256,355.45521618816224,355.45521618816224
2022-09,1664582340,19425.0,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,343.6684443125843,344.238444312014,344.238444312014
2022-10,1667260740,20498.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,362.6520345698509,363.2220345692806,363.2220345692806
2022-11,1669852740,17170.0,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,303.77282825467563,304.3428282541053,304.3428282541053
2022-12,1672531140,16528.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,292.41451982488513,292.9845198243148,292.9845198243148
2023-01,1675209540,23127.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,409.1644845105348,409.7344845099645,409.7344845099645
2023-02,1677628740,23136.0,0,0,40320,0.0,0.0,0.0,0.5699999994296974,1185,409.32371313338234,409.893713132812,409.893713132812
2023-03,1680307140,28476.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,503.7993626895831,504.3693626890128,504.3693626890128
2023-04,1682899140,29235.0,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,517.2276432163915,517.7976432158212,517.7976432158212
2023-05,1685577540,27219.0,0,0,44640,0.0,0.0,0.0,0.5699999994296974,1185,481.56043169854485,482.13043169797453,482.13043169797453
2023-06,1688169540,30469.0,0,0,43200,0.0,0.0,0.0,0.5699999994296974,1185,539.0596566157083,539.629656615138,539.629656615138
