date,timestamp,close,cash,open_lots,account_liquidation_value,total_withdrawn,total_wealth_including_withdrawals
2022-05-26,1653609540,29183.06,0.0,902,391.07443844790913,150.19999999953268,541.2744384474418
2022-05-27,1653695940,28589.48,0.0,902,383.12003047376555,150.19999999953268,533.3200304732982
2022-05-28,1653782340,29010.82,0.0,902,388.7662959406372,150.19999999953268,538.9662959401699
2022-05-29,1653868740,29448.94,0.0,902,394.63742573212573,150.19999999953268,544.8374257316584
2022-05-30,1653955140,31731.22,0.0,902,425.2216540269274,150.19999999953268,575.4216540264601
2022-05-31,1654041540,31762.76,0.0,902,425.64431319250656,150.19999999953268,575.8443131920392
2022-06-01,1654127940,29787.4,0.0,902,399.1730383250848,150.19999999953268,549.3730383246175
2022-06-02,1654214340,30437.18,0.0,902,407.88056757714685,150.19999999953268,558.0805675766795
2022-06-03,1654300740,29669.39,0.0,902,397.5916176488007,150.19999999953268,547.7916176483334
2022-06-04,1654387140,29853.51,0.0,902,400.05896088172517,150.19999999953268,550.2589608812578
2022-06-05,1654473540,29888.98,0.0,902,400.53428493382074,150.19999999953268,550.7342849333534
2022-06-06,1654559940,31351.21,0.0,902,420.129240916219,150.19999999953268,570.3292409157516
2022-06-07,1654646340,31115.82,0.0,902,416.9748420263749,150.19999999953268,567.1748420259075
2022-06-08,1654732740,30185.58,0.0,902,404.50894278134086,150.19999999953268,554.7089427808735
2022-06-09,1654819140,30089.03,0.0,902,403.21510186705206,150.19999999953268,553.4151018665848
2022-06-10,1654905540,29065.66,0.0,902,389.5011922196594,150.19999999953268,539.7011922191921
2022-06-11,1654991940,28390.94,0.0,902,380.4594486496029,150.19999999953268,530.6594486491356
2022-06-12,1655078340,26585.1,0.0,902,356.2598662916606,150.19999999953268,506.4598662911933
2022-06-13,1655164740,22450.43,0.0,902,300.8522514487546,150.19999999953268,451.0522514482873
2022-06-14,1655251140,22097.3,0.0,902,296.1200500809368,150.19999999953268,446.32005008046946
2022-06-15,1655337540,22555.27,0.0,902,302.2571844519037,150.19999999953268,452.4571844514364
2022-06-16,1655423940,20382.88,0.0,902,273.1455628693879,150.19999999953268,423.3455628689206
2022-06-17,1655510340,20440.7,0.0,902,273.9203933371681,150.19999999953268,424.1203933367008
2022-06-18,1655596740,18956.8,0.0,902,254.03504343853334,150.19999999953268,404.235043438066
2022-06-19,1655683140,20552.82,0.0,902,275.42288368734995,150.19999999953268,425.62288368688263
2022-06-20,1655769540,20555.44,0.0,902,275.45799361169423,150.19999999953268,425.6579936112269
2022-06-21,1655855940,20712.29,0.0,902,277.55989881527995,150.19999999953268,427.75989881481263
2022-06-22,1655942340,19963.68,0.0,902,267.5279749743089,150.19999999953268,417.7279749738416
2022-06-23,1656028740,21093.42,0.0,902,282.66732074860874,150.19999999953268,432.8673207481414
2022-06-24,1656115140,21215.42,0.0,902,284.30221035547817,150.19999999953268,434.50221035501085
2022-06-25,1656201540,21486.8,0.0,902,287.9389016793487,150.19999999953268,438.1389016788814
2022-06-26,1656287940,21028.69,0.0,902,281.7998912055543,150.19999999953268,431.99989120508695
2022-06-27,1656374340,20699.72,0.0,902,277.3914515828345,150.19999999953268,427.5914515823672
2022-06-28,1656460740,20261.34,0.0,902,271.5168376003805,150.19999999953268,421.71683759991316
2022-06-29,1656547140,20093.18,0.0,902,269.26337008979726,150.19999999953268,419.46337008932994
2022-06-30,1656633540,19924.89,0.0,902,267.00816048373133,150.19999999953268,417.208160483264
2022-07-01,1656719940,19239.47,0.0,902,257.8230290547117,150.19999999953268,408.0230290542444
2022-07-02,1656806340,19228.25,0.0,902,257.67267281381766,150.19999999953268,407.87267281335033
2022-07-03,1656892740,19294.46,0.0,902,258.5599354439063,150.19999999953268,408.75993544343896
2022-07-04,1656979140,20209.53,0.0,902,270.8225455468403,150.19999999953268,421.02254554637295
2022-07-05,1657065540,20168.63,0.0,902,270.2744555065046,150.19999999953268,420.47445550603726
2022-07-06,1657151940,20547.45,0.0,902,275.3509217431788,150.19999999953268,425.55092174271147
2022-07-07,1657238340,21643.56,0.0,902,290.039600816831,150.19999999953268,440.2396008163637
